ダウンロードした時刻：2024/07/09 16:08:10

,浜松,浜松,浜松,浜松,浜松,浜松
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1985/1/1,5.2,8,1,10.6,8,1
1985/1/2,5.8,8,1,10.4,8,1
1985/1/3,4.7,8,1,7.0,8,1
1985/1/4,4.8,8,1,10.6,8,1
1985/1/5,2.6,8,1,6.9,8,1
1985/1/6,4.0,8,1,7.9,8,1
1985/1/7,3.4,8,1,7.2,8,1
1985/1/8,4.0,8,1,8.2,8,1
1985/1/9,4.8,8,1,10.5,8,1
1985/1/10,5.1,8,1,8.6,8,1
1985/1/11,6.6,8,1,10.5,8,1
1985/1/12,6.3,8,1,10.5,8,1
1985/1/13,4.0,8,1,7.3,8,1
1985/1/14,0.6,8,1,4.5,8,1
1985/1/15,0.6,8,1,4.7,8,1
1985/1/16,4.0,8,1,10.4,8,1
1985/1/17,2.8,8,1,7.0,8,1
1985/1/18,2.7,8,1,6.9,8,1
1985/1/19,6.0,8,1,10.7,8,1
1985/1/20,6.8,8,1,11.5,8,1
1985/1/21,4.2,8,1,8.8,8,1
1985/1/22,6.1,8,1,10.9,8,1
1985/1/23,7.4,8,1,12.6,8,1
1985/1/24,4.6,8,1,7.5,8,1
1985/1/25,3.7,8,1,8.3,8,1
1985/1/26,3.4,8,1,8.2,8,1
1985/1/27,4.4,8,1,9.3,8,1
1985/1/28,6.2,8,1,11.4,8,1
1985/1/29,2.1,8,1,6.0,8,1
1985/1/30,0.1,8,1,3.7,8,1
1985/1/31,1.0,8,1,5.4,8,1
1985/2/1,5.3,8,1,9.9,8,1
1985/2/2,7.1,8,1,11.7,8,1
1985/2/3,6.8,8,1,11.6,8,1
1985/2/4,7.6,8,1,12.5,8,1
1985/2/5,7.6,8,1,9.6,8,1
1985/2/6,8.6,8,1,11.8,8,1
1985/2/7,9.7,8,1,15.9,8,1
1985/2/8,10.4,8,1,14.6,8,1
1985/2/9,12.1,8,1,16.5,8,1
1985/2/10,9.9,8,1,14.4,8,1
1985/2/11,6.7,8,1,11.4,8,1
1985/2/12,7.0,8,1,10.6,8,1
1985/2/13,7.1,8,1,11.7,8,1
1985/2/14,3.2,8,1,7.2,8,1
1985/2/15,4.7,8,1,8.9,8,1
1985/2/16,5.5,8,1,7.6,8,1
1985/2/17,7.0,8,1,12.7,8,1
1985/2/18,7.0,8,1,10.6,8,1
1985/2/19,7.9,8,1,10.9,8,1
1985/2/20,7.7,8,1,10.9,8,1
1985/2/21,4.7,8,1,8.7,8,1
1985/2/22,1.8,8,1,5.9,8,1
1985/2/23,3.3,8,1,7.1,8,1
1985/2/24,1.9,8,1,5.4,8,1
1985/2/25,4.3,8,1,9.6,8,1
1985/2/26,5.2,8,1,8.4,8,1
1985/2/27,7.7,8,1,11.9,8,1
1985/2/28,8.6,8,1,10.2,8,1
1985/3/1,10.2,8,1,15.6,8,1
1985/3/2,9.7,8,1,13.6,8,1
1985/3/3,9.0,8,1,14.9,8,1
1985/3/4,8.0,8,1,14.0,8,1
1985/3/5,8.8,8,1,12.0,8,1
1985/3/6,8.2,8,1,12.3,8,1
1985/3/7,9.5,8,1,14.3,8,1
1985/3/8,11.8,8,1,15.1,8,1
1985/3/9,11.6,8,1,16.8,8,1
1985/3/10,9.3,8,1,14.5,8,1
1985/3/11,8.8,8,1,10.0,8,1
1985/3/12,7.5,8,1,11.7,8,1
1985/3/13,8.7,8,1,14.9,8,1
1985/3/14,8.2,8,1,9.1,8,1
1985/3/15,8.3,8,1,10.5,8,1
1985/3/16,8.3,8,1,11.2,8,1
1985/3/17,9.9,8,1,12.0,8,1
1985/3/18,13.3,8,1,18.2,8,1
1985/3/19,10.5,8,1,13.7,8,1
1985/3/20,10.8,8,1,14.6,8,1
1985/3/21,9.5,8,1,11.8,8,1
1985/3/22,10.3,8,1,15.3,8,1
1985/3/23,10.2,8,1,14.1,8,1
1985/3/24,11.1,8,1,16.2,8,1
1985/3/25,12.7,8,1,15.7,8,1
1985/3/26,15.8,8,1,21.1,8,1
1985/3/27,12.0,8,1,13.8,8,1
1985/3/28,13.8,8,1,19.5,8,1
1985/3/29,13.9,8,1,18.8,8,1
1985/3/30,10.2,8,1,14.1,8,1
1985/3/31,7.5,8,1,12.2,8,1
1985/4/1,9.0,8,1,14.9,8,1
1985/4/2,10.3,8,1,15.0,8,1
1985/4/3,14.6,8,1,18.4,8,1
1985/4/4,14.7,8,1,16.5,8,1
1985/4/5,13.7,8,1,18.2,8,1
1985/4/6,13.4,8,1,18.0,8,1
1985/4/7,13.1,8,1,15.9,8,1
1985/4/8,16.8,8,1,22.3,8,1
1985/4/9,16.5,8,1,22.1,8,1
1985/4/10,15.9,8,1,20.0,8,1
1985/4/11,15.6,8,1,18.8,8,1
1985/4/12,13.5,8,1,15.9,8,1
1985/4/13,15.3,8,1,18.7,8,1
1985/4/14,15.0,8,1,18.6,8,1
1985/4/15,12.4,8,1,15.7,8,1
1985/4/16,13.4,8,1,18.1,8,1
1985/4/17,14.0,8,1,18.4,8,1
1985/4/18,11.7,8,1,14.5,8,1
1985/4/19,14.6,8,1,17.5,8,1
1985/4/20,16.4,8,1,22.4,8,1
1985/4/21,15.7,8,1,20.8,8,1
1985/4/22,15.4,8,1,18.4,8,1
1985/4/23,19.2,8,1,26.0,8,1
1985/4/24,16.7,8,1,21.2,8,1
1985/4/25,15.3,8,1,19.6,8,1
1985/4/26,17.4,8,1,21.8,8,1
1985/4/27,16.8,8,1,20.9,8,1
1985/4/28,14.8,8,1,18.7,8,1
1985/4/29,15.4,8,1,21.0,8,1
1985/4/30,16.6,8,1,21.6,8,1
1985/5/1,17.2,8,1,21.9,8,1
1985/5/2,17.4,8,1,22.2,8,1
1985/5/3,17.6,8,1,22.6,8,1
1985/5/4,19.5,8,1,24.1,8,1
1985/5/5,20.1,8,1,23.0,8,1
1985/5/6,20.2,8,1,23.0,8,1
1985/5/7,19.3,8,1,20.0,8,1
1985/5/8,18.8,8,1,23.9,8,1
1985/5/9,19.4,8,1,23.1,8,1
1985/5/10,17.1,8,1,20.5,8,1
1985/5/11,17.4,8,1,22.4,8,1
1985/5/12,18.4,8,1,22.9,8,1
1985/5/13,19.4,8,1,23.4,8,1
1985/5/14,17.9,8,1,19.2,8,1
1985/5/15,19.2,8,1,23.8,8,1
1985/5/16,17.9,8,1,20.8,8,1
1985/5/17,17.1,8,1,21.4,8,1
1985/5/18,18.2,8,1,22.1,8,1
1985/5/19,19.2,8,1,22.8,8,1
1985/5/20,19.7,8,1,21.4,8,1
1985/5/21,20.6,8,1,25.9,8,1
1985/5/22,19.9,8,1,23.8,8,1
1985/5/23,20.0,8,1,24.6,8,1
1985/5/24,19.0,8,1,20.3,8,1
1985/5/25,20.2,8,1,21.1,8,1
1985/5/26,21.4,8,1,26.1,8,1
1985/5/27,20.6,8,1,23.4,8,1
1985/5/28,19.4,8,1,23.2,8,1
1985/5/29,18.2,8,1,21.5,8,1
1985/5/30,18.8,8,1,22.2,8,1
1985/5/31,18.7,8,1,22.5,8,1
1985/6/1,18.9,8,1,23.7,8,1
1985/6/2,19.0,8,1,22.3,8,1
1985/6/3,20.5,8,1,24.1,8,1
1985/6/4,21.2,8,1,25.4,8,1
1985/6/5,21.2,8,1,26.2,8,1
1985/6/6,21.6,8,1,26.3,8,1
1985/6/7,21.5,8,1,26.6,8,1
1985/6/8,18.8,8,1,20.9,8,1
1985/6/9,20.3,8,1,23.6,8,1
1985/6/10,21.7,8,1,26.5,8,1
1985/6/11,20.8,8,1,23.8,8,1
1985/6/12,20.3,8,1,22.5,8,1
1985/6/13,17.7,8,1,19.5,8,1
1985/6/14,18.4,8,1,23.2,8,1
1985/6/15,17.4,8,1,21.1,8,1
1985/6/16,18.8,8,1,21.9,8,1
1985/6/17,19.4,8,1,22.7,8,1
1985/6/18,18.3,8,1,19.6,8,1
1985/6/19,19.8,8,1,21.4,8,1
1985/6/20,23.7,8,1,28.2,8,1
1985/6/21,22.9,8,1,24.3,8,1
1985/6/22,24.8,8,1,28.9,8,1
1985/6/23,23.6,8,1,26.8,8,1
1985/6/24,23.3,8,1,27.5,8,1
1985/6/25,22.6,8,1,25.1,8,1
1985/6/26,24.9,8,1,29.2,8,1
1985/6/27,23.9,8,1,29.1,8,1
1985/6/28,23.1,8,1,27.0,8,1
1985/6/29,20.9,8,1,21.4,8,1
1985/6/30,22.7,8,1,24.0,8,1
1985/7/1,25.2,8,1,28.7,8,1
1985/7/2,20.9,8,1,23.3,8,1
1985/7/3,21.8,8,1,23.3,8,1
1985/7/4,25.1,8,1,28.9,8,1
1985/7/5,25.9,8,1,29.6,8,1
1985/7/6,26.9,8,1,30.7,8,1
1985/7/7,25.7,8,1,28.9,8,1
1985/7/8,26.8,8,1,32.3,8,1
1985/7/9,24.5,8,1,28.7,8,1
1985/7/10,24.6,8,1,28.7,8,1
1985/7/11,27.5,8,1,31.2,8,1
