ダウンロードした時刻：2024/07/09 16:09:27

,浜松,浜松,浜松,浜松,浜松,浜松
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1995/1/1,5.5,8,1,9.1,8,1
1995/1/2,5.6,8,1,11.0,8,1
1995/1/3,7.2,8,1,12.2,8,1
1995/1/4,10.3,8,1,13.1,8,1
1995/1/5,7.1,8,1,10.1,8,1
1995/1/6,3.5,8,1,7.2,8,1
1995/1/7,5.8,8,1,8.7,8,1
1995/1/8,7.9,8,1,13.4,8,1
1995/1/9,9.1,8,1,14.9,8,1
1995/1/10,6.2,8,1,11.8,8,1
1995/1/11,4.7,8,1,8.0,8,1
1995/1/12,5.3,8,1,8.6,8,1
1995/1/13,4.2,8,1,8.1,8,1
1995/1/14,2.1,8,1,6.0,8,1
1995/1/15,1.9,8,1,5.6,8,1
1995/1/16,3.4,8,1,8.1,8,1
1995/1/17,4.1,8,1,11.0,8,1
1995/1/18,4.7,8,1,8.3,8,1
1995/1/19,5.0,8,1,8.3,8,1
1995/1/20,5.5,8,1,11.4,8,1
1995/1/21,7.0,8,1,12.6,8,1
1995/1/22,7.6,8,1,10.7,8,1
1995/1/23,10.3,8,1,12.7,8,1
1995/1/24,7.4,8,1,10.1,8,1
1995/1/25,5.4,8,1,10.4,8,1
1995/1/26,5.0,8,1,9.2,8,1
1995/1/27,5.1,8,1,9.9,8,1
1995/1/28,4.8,8,1,9.8,8,1
1995/1/29,5.0,8,1,9.1,8,1
1995/1/30,2.2,8,1,6.1,8,1
1995/1/31,1.5,8,1,5.1,8,1
1995/2/1,2.8,8,1,7.0,8,1
1995/2/2,4.6,8,1,9.8,8,1
1995/2/3,5.0,8,1,10.5,8,1
1995/2/4,5.8,8,1,11.2,8,1
1995/2/5,5.5,8,1,9.7,8,1
1995/2/6,4.6,8,1,9.1,8,1
1995/2/7,4.8,8,1,9.3,8,1
1995/2/8,7.4,8,1,12.4,8,1
1995/2/9,8.2,8,1,12.3,8,1
1995/2/10,5.6,8,1,9.9,8,1
1995/2/11,5.8,8,1,11.4,8,1
1995/2/12,7.3,8,1,12.6,8,1
1995/2/13,10.3,8,1,15.2,8,1
1995/2/14,8.8,8,1,13.3,8,1
1995/2/15,7.1,8,1,12.6,8,1
1995/2/16,7.1,8,1,11.9,8,1
1995/2/17,4.6,8,1,10.5,8,1
1995/2/18,6.1,8,1,11.0,8,1
1995/2/19,7.5,8,1,12.7,8,1
1995/2/20,6.2,8,1,11.5,8,1
1995/2/21,4.5,8,1,9.4,8,1
1995/2/22,5.7,8,1,11.5,8,1
1995/2/23,6.3,8,1,12.2,8,1
1995/2/24,7.8,8,1,13.4,8,1
1995/2/25,6.1,8,1,8.9,8,1
1995/2/26,6.0,8,1,10.8,8,1
1995/2/27,7.5,8,1,13.5,8,1
1995/2/28,7.1,8,1,12.8,8,1
1995/3/1,6.9,8,1,11.8,8,1
1995/3/2,6.9,8,1,11.6,8,1
1995/3/3,7.4,8,1,13.2,8,1
1995/3/4,5.5,8,1,9.2,8,1
1995/3/5,5.9,8,1,10.6,8,1
1995/3/6,7.6,8,1,13.2,8,1
1995/3/7,8.8,8,1,15.2,8,1
1995/3/8,9.5,8,1,15.5,8,1
1995/3/9,10.8,8,1,15.4,8,1
1995/3/10,8.8,8,1,10.7,8,1
1995/3/11,8.0,8,1,11.3,8,1
1995/3/12,8.0,8,1,13.9,8,1
1995/3/13,8.8,8,1,14.3,8,1
1995/3/14,8.6,8,1,13.7,8,1
1995/3/15,10.1,8,1,15.3,8,1
1995/3/16,10.2,8,1,13.5,8,1
1995/3/17,15.1,8,1,17.7,8,1
1995/3/18,8.7,8,1,12.4,8,1
1995/3/19,7.6,8,1,12.3,8,1
1995/3/20,8.8,8,1,14.9,8,1
1995/3/21,10.5,8,1,16.2,8,1
1995/3/22,14.4,8,1,21.1,8,1
1995/3/23,13.5,8,1,17.7,8,1
1995/3/24,12.9,8,1,14.3,8,1
1995/3/25,11.6,8,1,14.9,8,1
1995/3/26,6.6,8,1,11.4,8,1
1995/3/27,8.9,8,1,15.0,8,1
1995/3/28,10.6,8,1,15.6,8,1
1995/3/29,9.1,8,1,11.4,8,1
1995/3/30,11.0,8,1,14.0,8,1
1995/3/31,14.7,8,1,19.4,8,1
1995/4/1,10.9,8,1,15.2,8,1
1995/4/2,8.5,8,1,12.8,8,1
1995/4/3,8.1,8,1,13.6,8,1
1995/4/4,10.2,8,1,16.3,8,1
1995/4/5,11.7,8,1,17.7,8,1
1995/4/6,12.5,8,1,17.3,8,1
1995/4/7,15.9,8,1,21.5,8,1
1995/4/8,13.9,8,1,17.5,8,1
1995/4/9,13.5,8,1,18.6,8,1
1995/4/10,14.0,8,1,18.7,8,1
1995/4/11,12.7,8,1,16.5,8,1
1995/4/12,11.7,8,1,15.8,8,1
1995/4/13,12.9,8,1,18.4,8,1
1995/4/14,11.3,8,1,12.2,8,1
1995/4/15,16.0,8,1,19.7,8,1
1995/4/16,13.4,8,1,15.1,8,1
1995/4/17,16.6,8,1,21.5,8,1
1995/4/18,16.0,8,1,19.5,8,1
1995/4/19,15.0,8,1,19.1,8,1
1995/4/20,13.2,8,1,20.5,8,1
1995/4/21,14.3,8,1,20.0,8,1
1995/4/22,15.0,8,1,16.4,8,1
1995/4/23,19.0,8,1,20.9,8,1
1995/4/24,16.9,8,1,20.9,8,1
1995/4/25,14.2,8,1,15.6,8,1
1995/4/26,15.7,8,1,19.4,8,1
1995/4/27,16.9,8,1,23.3,8,1
1995/4/28,16.2,8,1,19.5,8,1
1995/4/29,16.1,8,1,20.6,8,1
1995/4/30,17.5,8,1,20.5,8,1
1995/5/1,16.4,8,1,17.5,8,1
1995/5/2,18.7,8,1,21.6,8,1
1995/5/3,20.0,8,1,25.3,8,1
1995/5/4,17.1,8,1,20.9,8,1
1995/5/5,15.7,8,1,21.3,8,1
1995/5/6,17.0,8,1,21.6,8,1
1995/5/7,18.2,8,1,23.2,8,1
1995/5/8,17.5,8,1,22.5,8,1
1995/5/9,18.2,8,1,23.2,8,1
1995/5/10,19.8,8,1,24.4,8,1
1995/5/11,19.3,8,1,21.8,8,1
1995/5/12,16.4,8,1,18.2,8,1
1995/5/13,18.9,8,1,23.9,8,1
1995/5/14,16.8,8,1,20.2,8,1
1995/5/15,16.8,8,1,17.6,8,1
1995/5/16,16.9,8,1,19.1,8,1
1995/5/17,16.8,8,1,20.8,8,1
1995/5/18,18.4,8,1,23.1,8,1
1995/5/19,18.3,8,1,23.1,8,1
1995/5/20,18.6,8,1,23.2,8,1
1995/5/21,17.1,8,1,20.5,8,1
1995/5/22,18.1,8,1,23.3,8,1
1995/5/23,19.2,8,1,25.6,8,1
1995/5/24,19.7,8,1,25.4,8,1
1995/5/25,20.1,8,1,25.4,8,1
1995/5/26,20.7,8,1,27.7,8,1
1995/5/27,21.8,8,1,27.4,8,1
1995/5/28,20.0,8,1,24.5,8,1
1995/5/29,16.8,8,1,20.2,8,1
1995/5/30,20.1,8,1,25.2,8,1
1995/5/31,21.1,8,1,26.2,8,1
1995/6/1,20.8,8,1,27.4,8,1
1995/6/2,19.7,8,1,24.0,8,1
1995/6/3,18.9,8,1,23.8,8,1
1995/6/4,20.9,8,1,24.3,8,1
1995/6/5,21.0,8,1,24.4,8,1
1995/6/6,21.2,8,1,26.9,8,1
1995/6/7,19.7,8,1,23.2,8,1
1995/6/8,18.3,8,1,21.8,8,1
1995/6/9,20.3,8,1,24.3,8,1
1995/6/10,20.7,8,1,24.5,8,1
1995/6/11,20.6,8,1,23.9,8,1
1995/6/12,19.7,8,1,23.1,8,1
1995/6/13,19.1,8,1,22.1,8,1
1995/6/14,19.3,8,1,21.0,8,1
1995/6/15,20.7,8,1,24.6,8,1
1995/6/16,21.8,8,1,26.6,8,1
1995/6/17,21.2,8,1,25.5,8,1
1995/6/18,20.5,8,1,24.3,8,1
1995/6/19,22.9,8,1,26.9,8,1
1995/6/20,24.5,8,1,29.5,8,1
1995/6/21,22.5,8,1,26.6,8,1
1995/6/22,22.4,8,1,27.0,8,1
1995/6/23,21.2,8,1,23.4,8,1
1995/6/24,22.7,8,1,26.0,8,1
1995/6/25,22.0,8,1,25.6,8,1
1995/6/26,22.4,8,1,24.6,8,1
1995/6/27,23.6,8,1,28.4,8,1
1995/6/28,22.6,8,1,25.3,8,1
1995/6/29,23.2,8,1,26.7,8,1
1995/6/30,23.7,8,1,27.8,8,1
1995/7/1,22.7,8,1,24.7,8,1
1995/7/2,24.1,8,1,25.5,8,1
1995/7/3,23.6,8,1,25.8,8,1
1995/7/4,22.4,8,1,24.3,8,1
1995/7/5,22.9,8,1,23.9,8,1
1995/7/6,23.9,8,1,27.9,8,1
1995/7/7,24.8,8,1,29.5,8,1
1995/7/8,25.1,8,1,28.4,8,1
1995/7/9,26.4,8,1,30.7,8,1
1995/7/10,27.1,8,1,33.0,8,1
1995/7/11,27.5,8,1,33.6,8,1
