ダウンロードした時刻：2024/07/10 01:14:55

,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1995/1/1,6.0,8,1,10.9,8,1
1995/1/2,4.6,8,1,8.3,8,1
1995/1/3,5.0,8,1,7.6,8,1
1995/1/4,5.6,8,1,7.9,8,1
1995/1/5,9.6,8,1,14.4,8,1
1995/1/6,5.4,8,1,10.3,8,1
1995/1/7,6.4,8,1,10.0,8,1
1995/1/8,10.0,8,1,13.4,8,1
1995/1/9,11.0,8,1,16.1,8,1
1995/1/10,8.6,8,1,14.9,8,1
1995/1/11,6.9,8,1,10.2,8,1
1995/1/12,7.0,8,1,11.0,8,1
1995/1/13,6.0,8,1,11.2,8,1
1995/1/14,3.7,8,1,7.6,8,1
1995/1/15,3.7,8,1,8.3,8,1
1995/1/16,4.4,8,1,7.9,8,1
1995/1/17,3.7,8,1,7.7,8,1
1995/1/18,5.3,8,1,9.4,8,1
1995/1/19,4.8,8,1,8.1,8,1
1995/1/20,5.3,8,1,11.0,8,1
1995/1/21,7.4,8,1,11.3,8,1
1995/1/22,6.2,8,1,7.9,8,1
1995/1/23,10.0,8,1,13.7,8,1
1995/1/24,8.5,8,1,13.0,8,1
1995/1/25,5.8,8,1,9.2,8,1
1995/1/26,6.7,8,1,10.4,8,1
1995/1/27,6.4,8,1,8.8,8,1
1995/1/28,5.4,8,1,9.3,8,1
1995/1/29,6.8,8,1,9.9,8,1
1995/1/30,4.8,8,1,8.3,8,1
1995/1/31,3.8,8,1,7.8,8,1
1995/2/1,4.5,8,1,9.0,8,1
1995/2/2,6.1,8,1,9.4,8,1
1995/2/3,6.4,8,1,10.0,8,1
1995/2/4,4.6,8,1,6.2,8,1
1995/2/5,2.5,8,1,4.7,8,1
1995/2/6,5.5,8,1,10.2,8,1
1995/2/7,5.6,8,1,9.7,8,1
1995/2/8,7.5,8,1,12.2,8,1
1995/2/9,8.0,8,1,10.1,8,1
1995/2/10,5.8,8,1,8.6,8,1
1995/2/11,5.7,8,1,9.1,8,1
1995/2/12,7.2,8,1,11.4,8,1
1995/2/13,8.8,8,1,12.2,8,1
1995/2/14,7.2,8,1,9.7,8,1
1995/2/15,6.8,8,1,9.9,8,1
1995/2/16,6.7,8,1,10.6,8,1
1995/2/17,5.7,8,1,10.1,8,1
1995/2/18,6.8,8,1,11.4,8,1
1995/2/19,7.5,8,1,11.6,8,1
1995/2/20,7.4,8,1,11.6,8,1
1995/2/21,6.6,8,1,11.0,8,1
1995/2/22,7.1,8,1,11.4,8,1
1995/2/23,7.6,8,1,11.9,8,1
1995/2/24,8.3,8,1,12.6,8,1
1995/2/25,5.8,8,1,7.3,8,1
1995/2/26,3.9,8,1,6.1,8,1
1995/2/27,7.9,8,1,13.9,8,1
1995/2/28,7.4,8,1,10.9,8,1
1995/3/1,6.3,8,1,11.6,8,1
1995/3/2,7.6,8,1,10.3,8,1
1995/3/3,6.4,8,1,9.7,8,1
1995/3/4,3.3,8,1,4.6,8,1
1995/3/5,5.7,8,1,10.2,8,1
1995/3/6,7.2,8,1,11.5,8,1
1995/3/7,8.2,8,1,12.6,8,1
1995/3/8,10.1,8,1,15.4,8,1
1995/3/9,9.8,8,1,14.9,8,1
1995/3/10,6.1,8,1,9.8,8,1
1995/3/11,10.0,8,1,14.6,8,1
1995/3/12,8.5,8,1,12.9,8,1
1995/3/13,7.4,8,1,12.7,8,1
1995/3/14,9.0,8,1,13.3,8,1
1995/3/15,9.4,8,1,12.5,8,1
1995/3/16,11.0,8,1,14.0,8,1
1995/3/17,15.3,8,1,18.0,8,1
1995/3/18,6.6,8,1,14.3,8,1
1995/3/19,7.0,8,1,10.8,8,1
1995/3/20,9.6,8,1,13.9,8,1
1995/3/21,11.8,8,1,16.7,8,1
1995/3/22,13.9,8,1,19.9,8,1
1995/3/23,11.4,8,1,13.4,8,1
1995/3/24,12.2,8,1,15.5,8,1
1995/3/25,7.2,8,1,12.1,8,1
1995/3/26,3.4,8,1,5.6,8,1
1995/3/27,8.9,8,1,13.5,8,1
1995/3/28,8.9,8,1,13.6,8,1
1995/3/29,8.6,8,1,11.7,8,1
1995/3/30,9.6,8,1,12.4,8,1
1995/3/31,15.6,8,1,19.8,8,1
1995/4/1,13.5,8,1,17.2,8,1
1995/4/2,10.0,8,1,13.3,8,1
1995/4/3,9.1,8,1,13.3,8,1
1995/4/4,10.7,8,1,15.7,8,1
1995/4/5,13.2,8,1,17.7,8,1
1995/4/6,14.5,8,1,18.4,8,1
1995/4/7,14.7,8,1,18.8,8,1
1995/4/8,13.9,8,1,18.2,8,1
1995/4/9,15.2,8,1,20.7,8,1
1995/4/10,14.2,8,1,18.5,8,1
1995/4/11,11.2,8,1,13.2,8,1
1995/4/12,12.4,8,1,18.9,8,1
1995/4/13,13.9,8,1,17.3,8,1
1995/4/14,12.6,8,1,14.1,8,1
1995/4/15,14.2,8,1,19.1,8,1
1995/4/16,13.4,8,1,16.3,8,1
1995/4/17,17.5,8,1,23.4,8,1
1995/4/18,15.6,8,1,18.8,8,1
1995/4/19,17.4,8,1,25.5,8,1
1995/4/20,14.3,8,1,19.3,8,1
1995/4/21,15.8,8,1,21.3,8,1
1995/4/22,17.5,8,1,18.9,8,1
1995/4/23,21.5,8,1,24.8,8,1
1995/4/24,17.7,8,1,21.7,8,1
1995/4/25,15.3,8,1,16.8,8,1
1995/4/26,17.6,8,1,23.6,8,1
1995/4/27,19.2,8,1,24.0,8,1
1995/4/28,18.9,8,1,21.6,8,1
1995/4/29,17.9,8,1,21.7,8,1
1995/4/30,18.0,8,1,22.2,8,1
1995/5/1,16.4,8,1,17.7,8,1
1995/5/2,19.4,8,1,25.4,8,1
1995/5/3,19.7,8,1,22.6,8,1
1995/5/4,18.1,8,1,20.6,8,1
1995/5/5,14.3,8,1,16.1,8,1
1995/5/6,17.7,8,1,22.3,8,1
1995/5/7,17.7,8,1,21.3,8,1
1995/5/8,16.9,8,1,20.0,8,1
1995/5/9,19.7,8,1,24.4,8,1
1995/5/10,20.7,8,1,26.0,8,1
1995/5/11,18.8,8,1,19.8,8,1
1995/5/12,18.4,8,1,21.5,8,1
1995/5/13,17.4,8,1,21.3,8,1
1995/5/14,19.0,8,1,21.6,8,1
1995/5/15,17.9,8,1,18.8,8,1
1995/5/16,18.3,8,1,21.0,8,1
1995/5/17,17.0,8,1,20.4,8,1
1995/5/18,19.7,8,1,24.3,8,1
1995/5/19,20.2,8,1,25.1,8,1
1995/5/20,20.5,8,1,24.8,8,1
1995/5/21,20.0,8,1,21.9,8,1
1995/5/22,20.3,8,1,24.6,8,1
1995/5/23,19.5,8,1,23.6,8,1
1995/5/24,20.5,8,1,24.7,8,1
1995/5/25,22.3,8,1,26.7,8,1
1995/5/26,21.4,8,1,25.2,8,1
1995/5/27,21.3,8,1,25.5,8,1
1995/5/28,20.4,8,1,24.1,8,1
1995/5/29,17.5,8,1,20.5,8,1
1995/5/30,20.9,8,1,25.3,8,1
1995/5/31,21.6,8,1,25.4,8,1
1995/6/1,20.4,8,1,24.9,8,1
1995/6/2,20.3,8,1,23.4,8,1
1995/6/3,21.1,8,1,24.4,8,1
1995/6/4,19.9,8,1,23.3,8,1
1995/6/5,21.5,8,1,25.1,8,1
1995/6/6,19.0,8,1,22.8,8,1
1995/6/7,18.2,8,1,21.6,8,1
1995/6/8,18.5,8,1,22.0,8,1
1995/6/9,18.2,8,1,20.3,8,1
1995/6/10,19.2,8,1,23.3,8,1
1995/6/11,18.7,8,1,23.3,8,1
1995/6/12,17.9,8,1,20.3,8,1
1995/6/13,17.5,8,1,18.7,8,1
1995/6/14,18.2,8,1,20.2,8,1
1995/6/15,21.4,8,1,25.4,8,1
1995/6/16,19.9,8,1,21.5,8,1
1995/6/17,22.7,8,1,26.4,8,1
1995/6/18,22.9,8,1,27.1,8,1
1995/6/19,21.5,8,1,24.0,8,1
1995/6/20,22.4,8,1,27.4,8,1
1995/6/21,21.2,8,1,24.2,8,1
1995/6/22,17.3,8,1,19.0,8,1
1995/6/23,16.5,8,1,18.1,8,1
1995/6/24,20.9,8,1,24.8,8,1
1995/6/25,22.3,8,1,25.6,8,1
1995/6/26,20.9,8,1,22.2,8,1
1995/6/27,23.2,8,1,26.3,8,1
1995/6/28,23.2,8,1,26.1,8,1
1995/6/29,22.7,8,1,25.0,8,1
1995/6/30,24.2,8,1,28.8,8,1
1995/7/1,23.7,8,1,26.3,8,1
1995/7/2,25.3,8,1,27.6,8,1
1995/7/3,25.6,8,1,27.2,8,1
1995/7/4,23.4,8,1,24.6,8,1
1995/7/5,21.8,8,1,22.9,8,1
1995/7/6,21.5,8,1,23.3,8,1
1995/7/7,24.1,8,1,26.9,8,1
1995/7/8,22.9,8,1,23.8,8,1
1995/7/9,23.7,8,1,26.0,8,1
1995/7/10,26.9,8,1,31.7,8,1
1995/7/11,28.1,8,1,32.5,8,1
