ダウンロードした時刻：2024/07/10 01:10:28

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1985/1/1,4.3,8,1,8.0,8,1
1985/1/2,4.6,8,1,10.4,8,1
1985/1/3,2.7,8,1,4.1,8,1
1985/1/4,3.3,8,1,7.8,8,1
1985/1/5,2.7,8,1,6.6,8,1
1985/1/6,2.3,8,1,5.8,8,1
1985/1/7,2.7,8,1,6.0,8,1
1985/1/8,4.2,8,1,8.2,8,1
1985/1/9,4.1,8,1,7.4,8,1
1985/1/10,6.5,8,1,12.0,8,1
1985/1/11,7.5,8,1,10.3,8,1
1985/1/12,4.1,8,1,7.2,8,1
1985/1/13,5.3,8,1,9.5,8,1
1985/1/14,2.2,8,1,7.2,8,1
1985/1/15,2.3,8,1,6.9,8,1
1985/1/16,6.3,8,1,12.0,8,1
1985/1/17,2.5,8,1,6.7,8,1
1985/1/18,2.1,8,1,5.0,8,1
1985/1/19,3.3,8,1,6.7,8,1
1985/1/20,6.1,8,1,12.5,8,1
1985/1/21,5.3,8,1,9.6,8,1
1985/1/22,4.8,8,1,8.6,8,1
1985/1/23,5.7,8,1,11.2,8,1
1985/1/24,3.8,8,1,5.8,8,1
1985/1/25,2.6,8,1,6.3,8,1
1985/1/26,1.5,8,1,7.3,8,1
1985/1/27,2.4,8,1,4.8,8,1
1985/1/28,4.9,8,1,10.5,8,1
1985/1/29,2.8,8,1,6.2,8,1
1985/1/30,0.8,8,1,4.4,8,1
1985/1/31,2.7,8,1,7.2,8,1
1985/2/1,7.0,8,1,12.6,8,1
1985/2/2,7.8,8,1,11.4,8,1
1985/2/3,6.1,8,1,9.4,8,1
1985/2/4,6.9,8,1,10.4,8,1
1985/2/5,5.4,8,1,8.0,8,1
1985/2/6,7.6,8,1,10.5,8,1
1985/2/7,9.4,8,1,13.0,8,1
1985/2/8,6.8,8,1,9.1,8,1
1985/2/9,5.0,8,1,7.9,8,1
1985/2/10,9.4,8,1,14.1,8,1
1985/2/11,7.7,8,1,13.4,8,1
1985/2/12,6.4,8,1,9.8,8,1
1985/2/13,6.8,8,1,12.7,8,1
1985/2/14,4.7,8,1,9.6,8,1
1985/2/15,4.8,8,1,9.0,8,1
1985/2/16,5.3,8,1,7.9,8,1
1985/2/17,7.4,8,1,11.9,8,1
1985/2/18,6.8,8,1,9.0,8,1
1985/2/19,3.5,8,1,7.5,8,1
1985/2/20,7.1,8,1,9.0,8,1
1985/2/21,7.9,8,1,13.4,8,1
1985/2/22,3.7,8,1,8.3,8,1
1985/2/23,4.6,8,1,8.3,8,1
1985/2/24,5.0,8,1,9.4,8,1
1985/2/25,5.4,8,1,10.2,8,1
1985/2/26,5.5,8,1,8.2,8,1
1985/2/27,5.5,8,1,7.5,8,1
1985/2/28,2.8,8,1,4.7,8,1
1985/3/1,6.6,8,1,10.0,8,1
1985/3/2,6.7,8,1,8.1,8,1
1985/3/3,8.2,8,1,14.1,8,1
1985/3/4,5.6,8,1,8.7,8,1
1985/3/5,5.2,8,1,6.7,8,1
1985/3/6,5.7,8,1,7.9,8,1
1985/3/7,6.9,8,1,9.8,8,1
1985/3/8,9.9,8,1,14.6,8,1
1985/3/9,12.3,8,1,20.0,8,1
1985/3/10,7.6,8,1,11.1,8,1
1985/3/11,1.8,8,1,6.8,8,1
1985/3/12,5.5,8,1,7.7,8,1
1985/3/13,7.3,8,1,10.6,8,1
1985/3/14,4.6,8,1,7.2,8,1
1985/3/15,5.0,8,1,7.7,8,1
1985/3/16,6.1,8,1,10.0,8,1
1985/3/17,5.3,8,1,7.8,8,1
1985/3/18,10.8,8,1,16.8,8,1
1985/3/19,6.2,8,1,10.8,8,1
1985/3/20,8.2,8,1,12.5,8,1
1985/3/21,7.1,8,1,8.4,8,1
1985/3/22,9.2,8,1,12.7,8,1
1985/3/23,5.9,8,1,7.5,8,1
1985/3/24,6.9,8,1,11.0,8,1
1985/3/25,10.5,8,1,15.3,8,1
1985/3/26,15.5,8,1,21.4,8,1
1985/3/27,6.2,8,1,10.9,8,1
1985/3/28,8.7,8,1,10.7,8,1
1985/3/29,9.6,8,1,12.4,8,1
1985/3/30,10.0,8,1,14.2,8,1
1985/3/31,6.9,8,1,12.4,8,1
1985/4/1,8.7,8,1,13.6,8,1
1985/4/2,10.3,8,1,14.8,8,1
1985/4/3,15.1,8,1,19.0,8,1
1985/4/4,15.0,8,1,16.8,8,1
1985/4/5,15.0,8,1,19.3,8,1
1985/4/6,13.7,8,1,18.5,8,1
1985/4/7,12.9,8,1,15.7,8,1
1985/4/8,12.9,8,1,15.3,8,1
1985/4/9,14.2,8,1,21.9,8,1
1985/4/10,13.9,8,1,20.1,8,1
1985/4/11,14.6,8,1,18.7,8,1
1985/4/12,8.0,8,1,12.5,8,1
1985/4/13,9.9,8,1,13.2,8,1
1985/4/14,11.4,8,1,16.7,8,1
1985/4/15,11.3,8,1,15.2,8,1
1985/4/16,11.5,8,1,14.0,8,1
1985/4/17,13.4,8,1,18.1,8,1
1985/4/18,9.8,8,1,11.9,8,1
1985/4/19,12.9,8,1,17.7,8,1
1985/4/20,15.3,8,1,20.3,8,1
1985/4/21,15.7,8,1,21.0,8,1
1985/4/22,16.2,8,1,20.0,8,1
1985/4/23,16.6,8,1,22.9,8,1
1985/4/24,16.7,8,1,25.4,8,1
1985/4/25,15.1,8,1,20.0,8,1
1985/4/26,17.8,8,1,22.0,8,1
1985/4/27,15.7,8,1,19.9,8,1
1985/4/28,14.6,8,1,19.1,8,1
1985/4/29,15.1,8,1,21.2,8,1
1985/4/30,16.5,8,1,22.8,8,1
1985/5/1,17.8,8,1,24.3,8,1
1985/5/2,18.4,8,1,24.4,8,1
1985/5/3,19.0,8,1,24.7,8,1
1985/5/4,19.8,8,1,25.6,8,1
1985/5/5,18.2,8,1,23.2,8,1
1985/5/6,20.3,8,1,23.2,8,1
1985/5/7,13.5,8,1,20.1,8,1
1985/5/8,17.4,8,1,22.6,8,1
1985/5/9,18.7,8,1,23.4,8,1
1985/5/10,17.9,8,1,20.8,8,1
1985/5/11,18.0,8,1,22.1,8,1
1985/5/12,18.8,8,1,24.2,8,1
1985/5/13,18.9,8,1,22.2,8,1
1985/5/14,17.6,8,1,18.6,8,1
1985/5/15,19.0,8,1,23.6,8,1
1985/5/16,17.2,8,1,21.3,8,1
1985/5/17,17.5,8,1,22.9,8,1
1985/5/18,19.2,8,1,23.5,8,1
1985/5/19,19.7,8,1,23.2,8,1
1985/5/20,20.3,8,1,21.7,8,1
1985/5/21,13.9,8,1,20.2,8,1
1985/5/22,16.1,8,1,20.4,8,1
1985/5/23,19.8,8,1,25.3,8,1
1985/5/24,19.7,8,1,22.2,8,1
1985/5/25,21.3,8,1,22.9,8,1
1985/5/26,22.3,8,1,25.6,8,1
1985/5/27,20.5,8,1,25.4,8,1
1985/5/28,20.2,8,1,23.3,8,1
1985/5/29,16.1,8,1,18.8,8,1
1985/5/30,16.0,8,1,19.3,8,1
1985/5/31,17.4,8,1,21.3,8,1
1985/6/1,18.8,8,1,22.7,8,1
1985/6/2,19.6,8,1,23.3,8,1
1985/6/3,20.7,8,1,25.1,8,1
1985/6/4,21.3,8,1,26.1,8,1
1985/6/5,22.0,8,1,27.7,8,1
1985/6/6,23.3,8,1,29.9,8,1
1985/6/7,23.6,8,1,29.1,8,1
1985/6/8,18.8,8,1,22.0,8,1
1985/6/9,17.3,8,1,18.3,8,1
1985/6/10,18.1,8,1,20.6,8,1
1985/6/11,18.4,8,1,21.5,8,1
1985/6/12,18.0,8,1,20.9,8,1
1985/6/13,16.0,8,1,17.8,8,1
1985/6/14,14.6,8,1,17.6,8,1
1985/6/15,15.2,8,1,18.1,8,1
1985/6/16,16.8,8,1,20.9,8,1
1985/6/17,17.7,8,1,22.1,8,1
1985/6/18,16.0,8,1,17.1,8,1
1985/6/19,19.1,8,1,22.8,8,1
1985/6/20,19.1,8,1,22.0,8,1
1985/6/21,20.2,8,1,22.3,8,1
1985/6/22,23.3,8,1,27.5,8,1
1985/6/23,23.2,8,1,26.8,8,1
1985/6/24,21.7,8,1,23.0,8,1
1985/6/25,20.0,8,1,23.5,8,1
1985/6/26,22.0,8,1,26.0,8,1
1985/6/27,21.2,8,1,24.6,8,1
1985/6/28,18.0,8,1,18.7,8,1
1985/6/29,19.8,8,1,21.4,8,1
1985/6/30,21.3,8,1,24.2,8,1
1985/7/1,25.1,8,1,30.8,8,1
1985/7/2,21.2,8,1,23.8,8,1
1985/7/3,21.3,8,1,22.7,8,1
1985/7/4,24.8,8,1,29.9,8,1
1985/7/5,20.7,8,1,21.8,8,1
1985/7/6,25.6,8,1,30.2,8,1
1985/7/7,24.2,8,1,27.0,8,1
1985/7/8,23.5,8,1,26.4,8,1
1985/7/9,24.4,8,1,29.4,8,1
1985/7/10,24.0,8,1,27.8,8,1
1985/7/11,25.4,8,1,30.7,8,1
