ダウンロードした時刻：2024/07/10 01:13:36

,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1974/1/1,5.4,8,1,12.2,8,1
1974/1/2,6.6,8,1,13.6,8,1
1974/1/3,7.2,8,1,13.3,8,1
1974/1/4,5.0,8,1,7.9,8,1
1974/1/5,6.5,8,1,11.2,8,1
1974/1/6,4.8,8,1,9.3,8,1
1974/1/7,5.4,8,1,10.1,8,1
1974/1/8,4.6,8,1,7.6,8,1
1974/1/9,4.2,8,1,8.8,8,1
1974/1/10,4.9,8,1,9.8,8,1
1974/1/11,4.2,8,1,9.1,8,1
1974/1/12,4.4,8,1,10.1,8,1
1974/1/13,4.5,8,1,10.2,8,1
1974/1/14,4.7,8,1,10.0,8,1
1974/1/15,6.7,8,1,12.4,8,1
1974/1/16,6.1,8,1,11.0,8,1
1974/1/17,4.8,8,1,8.3,8,1
1974/1/18,4.1,8,1,9.6,8,1
1974/1/19,3.4,8,1,8.0,8,1
1974/1/20,3.0,8,1,7.9,8,1
1974/1/21,0.2,8,1,2.5,8,1
1974/1/22,5.6,8,1,9.6,8,1
1974/1/23,5.8,8,1,10.6,8,1
1974/1/24,3.6,8,1,7.2,8,1
1974/1/25,1.7,8,1,5.5,8,1
1974/1/26,2.5,8,1,7.0,8,1
1974/1/27,3.2,8,1,7.4,8,1
1974/1/28,2.5,8,1,6.8,8,1
1974/1/29,3.0,8,1,7.4,8,1
1974/1/30,3.2,8,1,7.1,8,1
1974/1/31,3.3,8,1,5.3,8,1
1974/2/1,4.4,8,1,8.5,8,1
1974/2/2,4.4,8,1,8.9,8,1
1974/2/3,3.9,8,1,9.1,8,1
1974/2/4,4.2,8,1,9.7,8,1
1974/2/5,3.3,8,1,6.7,8,1
1974/2/6,4.1,8,1,7.5,8,1
1974/2/7,2.1,8,1,5.3,8,1
1974/2/8,4.0,8,1,7.6,8,1
1974/2/9,4.2,8,1,9.1,8,1
1974/2/10,2.8,8,1,7.3,8,1
1974/2/11,1.7,8,1,7.0,8,1
1974/2/12,2.6,8,1,6.7,8,1
1974/2/13,4.4,8,1,10.2,8,1
1974/2/14,4.9,8,1,10.1,8,1
1974/2/15,3.6,8,1,7.2,8,1
1974/2/16,9.2,8,1,17.4,8,1
1974/2/17,8.6,8,1,12.2,8,1
1974/2/18,9.1,8,1,14.1,8,1
1974/2/19,8.5,8,1,11.7,8,1
1974/2/20,9.2,8,1,11.8,8,1
1974/2/21,5.6,8,1,7.1,8,1
1974/2/22,9.7,8,1,15.9,8,1
1974/2/23,11.1,8,1,18.1,8,1
1974/2/24,3.5,8,1,5.5,8,1
1974/2/25,1.9,8,1,2.8,8,1
1974/2/26,4.3,8,1,7.9,8,1
1974/2/27,2.8,8,1,7.3,8,1
1974/2/28,3.6,8,1,8.6,8,1
1974/3/1,3.6,8,1,6.3,8,1
1974/3/2,7.5,8,1,14.5,8,1
1974/3/3,8.5,8,1,12.4,8,1
1974/3/4,12.4,8,1,20.1,8,1
1974/3/5,12.1,8,1,16.1,8,1
1974/3/6,8.1,8,1,10.9,8,1
1974/3/7,6.5,8,1,7.5,8,1
1974/3/8,7.0,8,1,9.3,8,1
1974/3/9,7.3,8,1,10.9,8,1
1974/3/10,8.5,8,1,16.5,8,1
1974/3/11,6.6,8,1,10.7,8,1
1974/3/12,4.3,8,1,8.3,8,1
1974/3/13,3.3,8,1,8.3,8,1
1974/3/14,5.2,8,1,9.1,8,1
1974/3/15,8.6,8,1,13.1,8,1
1974/3/16,8.4,8,1,12.7,8,1
1974/3/17,8.2,8,1,12.0,8,1
1974/3/18,3.5,8,1,6.7,8,1
1974/3/19,5.0,8,1,8.8,8,1
1974/3/20,6.6,8,1,11.9,8,1
1974/3/21,8.5,8,1,14.3,8,1
1974/3/22,10.4,8,1,16.3,8,1
1974/3/23,7.9,8,1,12.2,8,1
1974/3/24,6.7,8,1,12.1,8,1
1974/3/25,5.8,8,1,8.9,8,1
1974/3/26,5.1,8,1,8.0,8,1
1974/3/27,1.3,8,1,3.2,8,1
1974/3/28,5.6,8,1,10.5,8,1
1974/3/29,8.3,8,1,12.9,8,1
1974/3/30,12.2,8,1,17.9,8,1
1974/3/31,14.3,8,1,19.2,8,1
1974/4/1,15.7,8,1,21.6,8,1
1974/4/2,10.0,8,1,13.5,8,1
1974/4/3,11.1,8,1,16.2,8,1
1974/4/4,14.9,8,1,21.6,8,1
1974/4/5,16.8,8,1,21.2,8,1
1974/4/6,13.4,8,1,17.4,8,1
1974/4/7,17.5,8,1,22.3,8,1
1974/4/8,10.4,8,1,18.3,8,1
1974/4/9,7.5,8,1,8.9,8,1
1974/4/10,11.5,8,1,14.1,8,1
1974/4/11,13.4,8,1,17.2,8,1
1974/4/12,16.3,8,1,22.9,8,1
1974/4/13,16.4,8,1,20.9,8,1
1974/4/14,18.3,8,1,21.3,8,1
1974/4/15,12.8,8,1,16.4,8,1
1974/4/16,10.6,8,1,13.6,8,1
1974/4/17,15.1,8,1,20.2,8,1
1974/4/18,16.7,8,1,22.3,8,1
1974/4/19,14.3,8,1,17.8,8,1
1974/4/20,13.5,8,1,17.3,8,1
1974/4/21,16.5,8,1,20.3,8,1
1974/4/22,15.8,8,1,19.4,8,1
1974/4/23,16.7,8,1,20.0,8,1
1974/4/24,16.5,8,1,21.7,8,1
1974/4/25,16.5,8,1,20.4,8,1
1974/4/26,18.0,8,1,23.5,8,1
1974/4/27,16.9,8,1,21.5,8,1
1974/4/28,16.9,8,1,21.1,8,1
1974/4/29,17.5,8,1,23.8,8,1
1974/4/30,17.3,8,1,22.3,8,1
1974/5/1,18.7,8,1,24.4,8,1
1974/5/2,15.5,8,1,20.1,8,1
1974/5/3,16.7,8,1,21.6,8,1
1974/5/4,19.7,8,1,23.6,8,1
1974/5/5,16.9,8,1,22.4,8,1
1974/5/6,14.7,8,1,19.0,8,1
1974/5/7,15.6,8,1,20.4,8,1
1974/5/8,18.0,8,1,21.5,8,1
1974/5/9,18.0,8,1,20.4,8,1
1974/5/10,17.9,8,1,19.7,8,1
1974/5/11,17.5,8,1,21.4,8,1
1974/5/12,17.5,8,1,22.2,8,1
1974/5/13,17.7,8,1,22.2,8,1
1974/5/14,18.1,8,1,22.3,8,1
1974/5/15,18.7,8,1,21.3,8,1
1974/5/16,20.8,8,1,27.0,8,1
1974/5/17,21.4,8,1,26.8,8,1
1974/5/18,22.6,8,1,29.5,8,1
1974/5/19,22.5,8,1,28.2,8,1
1974/5/20,22.6,8,1,26.4,8,1
1974/5/21,22.6,8,1,26.5,8,1
1974/5/22,18.2,8,1,22.4,8,1
1974/5/23,18.6,8,1,22.9,8,1
1974/5/24,20.3,8,1,26.3,8,1
1974/5/25,19.3,8,1,24.5,8,1
1974/5/26,20.0,8,1,24.6,8,1
1974/5/27,20.0,8,1,24.8,8,1
1974/5/28,20.7,8,1,24.9,8,1
1974/5/29,22.1,8,1,25.5,8,1
1974/5/30,22.9,8,1,26.6,8,1
1974/5/31,22.3,8,1,25.8,8,1
1974/6/1,24.3,8,1,28.9,8,1
1974/6/2,22.9,8,1,27.0,8,1
1974/6/3,22.1,8,1,27.4,8,1
1974/6/4,17.7,8,1,19.9,8,1
1974/6/5,19.9,8,1,22.4,8,1
1974/6/6,20.9,8,1,26.1,8,1
1974/6/7,22.2,8,1,27.2,8,1
1974/6/8,21.6,8,1,26.2,8,1
1974/6/9,21.9,8,1,26.9,8,1
1974/6/10,21.1,8,1,23.9,8,1
1974/6/11,20.6,8,1,22.2,8,1
1974/6/12,22.0,8,1,26.5,8,1
1974/6/13,23.6,8,1,27.3,8,1
1974/6/14,20.6,8,1,22.5,8,1
1974/6/15,22.8,8,1,28.2,8,1
1974/6/16,23.8,8,1,28.1,8,1
1974/6/17,23.0,8,1,26.2,8,1
1974/6/18,25.2,8,1,28.1,8,1
1974/6/19,23.7,8,1,25.8,8,1
1974/6/20,22.2,8,1,26.4,8,1
1974/6/21,20.9,8,1,22.7,8,1
1974/6/22,23.4,8,1,28.8,8,1
1974/6/23,22.1,8,1,24.5,8,1
1974/6/24,19.7,8,1,23.0,8,1
1974/6/25,21.5,8,1,26.3,8,1
1974/6/26,23.3,8,1,28.0,8,1
1974/6/27,20.1,8,1,23.6,8,1
1974/6/28,19.4,8,1,20.5,8,1
1974/6/29,23.5,8,1,27.7,8,1
1974/6/30,22.2,8,1,24.1,8,1
1974/7/1,20.4,8,1,21.5,8,1
1974/7/2,20.7,8,1,21.7,8,1
1974/7/3,22.9,8,1,26.1,8,1
1974/7/4,21.8,8,1,23.9,8,1
1974/7/5,17.9,8,1,18.9,8,1
1974/7/6,18.1,8,1,19.7,8,1
1974/7/7,20.3,8,1,22.9,8,1
1974/7/8,25.5,8,1,31.4,8,1
1974/7/9,27.0,8,1,31.0,8,1
1974/7/10,27.1,8,1,32.7,8,1
1974/7/11,20.8,8,1,24.4,8,1
