ダウンロードした時刻：2024/07/10 01:11:24

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1974/1/1,5.9,8,1,10.8,8,1
1974/1/2,5.9,8,1,10.6,8,1
1974/1/3,6.9,8,1,12.5,8,1
1974/1/4,4.8,8,1,7.0,8,1
1974/1/5,6.0,8,1,9.6,8,1
1974/1/6,5.1,8,1,9.5,8,1
1974/1/7,5.2,8,1,9.5,8,1
1974/1/8,3.5,8,1,6.6,8,1
1974/1/9,4.1,8,1,9.3,8,1
1974/1/10,4.2,8,1,9.9,8,1
1974/1/11,4.1,8,1,8.7,8,1
1974/1/12,4.1,8,1,9.5,8,1
1974/1/13,4.1,8,1,9.4,8,1
1974/1/14,4.2,8,1,10.1,8,1
1974/1/15,5.4,8,1,10.6,8,1
1974/1/16,5.5,8,1,9.6,8,1
1974/1/17,4.1,8,1,7.3,8,1
1974/1/18,3.7,8,1,8.6,8,1
1974/1/19,3.4,8,1,7.8,8,1
1974/1/20,3.4,8,1,8.8,8,1
1974/1/21,-0.2,8,1,2.0,8,1
1974/1/22,5.3,8,1,11.2,8,1
1974/1/23,5.6,8,1,11.7,8,1
1974/1/24,3.0,8,1,6.9,8,1
1974/1/25,1.6,8,1,5.6,8,1
1974/1/26,2.0,8,1,6.9,8,1
1974/1/27,3.0,8,1,7.0,8,1
1974/1/28,2.9,8,1,7.2,8,1
1974/1/29,2.5,8,1,7.4,8,1
1974/1/30,3.0,8,1,5.2,8,1
1974/1/31,3.4,8,1,5.3,8,1
1974/2/1,4.3,8,1,6.8,8,1
1974/2/2,4.3,8,1,8.4,8,1
1974/2/3,4.0,8,1,8.8,8,1
1974/2/4,3.7,8,1,10.9,8,1
1974/2/5,2.8,8,1,6.0,8,1
1974/2/6,3.8,8,1,7.2,8,1
1974/2/7,1.7,8,1,4.6,8,1
1974/2/8,3.8,8,1,7.0,8,1
1974/2/9,3.9,8,1,9.3,8,1
1974/2/10,2.5,8,1,7.7,8,1
1974/2/11,1.5,8,1,8.2,8,1
1974/2/12,1.8,8,1,5.8,8,1
1974/2/13,5.0,8,1,9.5,8,1
1974/2/14,4.8,8,1,9.8,8,1
1974/2/15,3.6,8,1,6.8,8,1
1974/2/16,8.6,8,1,16.1,8,1
1974/2/17,8.2,8,1,12.5,8,1
1974/2/18,8.4,8,1,11.7,8,1
1974/2/19,7.9,8,1,10.4,8,1
1974/2/20,9.7,8,1,13.1,8,1
1974/2/21,5.0,8,1,6.5,8,1
1974/2/22,9.2,8,1,15.8,8,1
1974/2/23,11.4,8,1,17.7,8,1
1974/2/24,3.5,8,1,5.8,8,1
1974/2/25,1.7,8,1,2.8,8,1
1974/2/26,3.9,8,1,7.2,8,1
1974/2/27,2.6,8,1,6.4,8,1
1974/2/28,3.3,8,1,8.0,8,1
1974/3/1,3.2,8,1,5.8,8,1
1974/3/2,6.4,8,1,11.7,8,1
1974/3/3,9.0,8,1,12.5,8,1
1974/3/4,13.7,8,1,18.8,8,1
1974/3/5,11.3,8,1,15.1,8,1
1974/3/6,7.9,8,1,11.1,8,1
1974/3/7,6.6,8,1,8.4,8,1
1974/3/8,6.9,8,1,8.1,8,1
1974/3/9,6.8,8,1,10.2,8,1
1974/3/10,7.9,8,1,16.0,8,1
1974/3/11,6.1,8,1,10.1,8,1
1974/3/12,4.1,8,1,7.9,8,1
1974/3/13,2.7,8,1,8.0,8,1
1974/3/14,4.7,8,1,8.8,8,1
1974/3/15,7.8,8,1,12.7,8,1
1974/3/16,7.9,8,1,11.4,8,1
1974/3/17,7.7,8,1,10.9,8,1
1974/3/18,2.7,8,1,6.2,8,1
1974/3/19,4.6,8,1,9.1,8,1
1974/3/20,6.4,8,1,11.6,8,1
1974/3/21,8.4,8,1,14.1,8,1
1974/3/22,9.8,8,1,15.2,8,1
1974/3/23,7.4,8,1,11.6,8,1
1974/3/24,6.0,8,1,10.8,8,1
1974/3/25,5.7,8,1,8.1,8,1
1974/3/26,4.7,8,1,6.6,8,1
1974/3/27,1.3,8,1,2.7,8,1
1974/3/28,5.3,8,1,8.8,8,1
1974/3/29,7.9,8,1,12.9,8,1
1974/3/30,12.1,8,1,17.7,8,1
1974/3/31,14.9,8,1,19.7,8,1
1974/4/1,15.3,8,1,20.9,8,1
1974/4/2,9.8,8,1,13.4,8,1
1974/4/3,11.0,8,1,16.1,8,1
1974/4/4,14.6,8,1,19.5,8,1
1974/4/5,16.3,8,1,20.2,8,1
1974/4/6,13.3,8,1,17.6,8,1
1974/4/7,17.4,8,1,20.7,8,1
1974/4/8,10.1,8,1,17.6,8,1
1974/4/9,7.4,8,1,8.6,8,1
1974/4/10,10.8,8,1,12.9,8,1
1974/4/11,12.9,8,1,17.1,8,1
1974/4/12,15.2,8,1,20.8,8,1
1974/4/13,15.7,8,1,20.7,8,1
1974/4/14,17.6,8,1,19.8,8,1
1974/4/15,12.5,8,1,15.6,8,1
1974/4/16,10.3,8,1,13.2,8,1
1974/4/17,14.6,8,1,20.0,8,1
1974/4/18,15.8,8,1,21.4,8,1
1974/4/19,14.3,8,1,17.3,8,1
1974/4/20,13.5,8,1,17.1,8,1
1974/4/21,16.2,8,1,20.1,8,1
1974/4/22,15.5,8,1,19.3,8,1
1974/4/23,16.3,8,1,19.3,8,1
1974/4/24,16.1,8,1,20.7,8,1
1974/4/25,16.0,8,1,20.5,8,1
1974/4/26,18.0,8,1,22.1,8,1
1974/4/27,16.0,8,1,20.8,8,1
1974/4/28,16.6,8,1,19.9,8,1
1974/4/29,17.0,8,1,22.8,8,1
1974/4/30,16.6,8,1,21.4,8,1
1974/5/1,18.9,8,1,22.9,8,1
1974/5/2,15.0,8,1,19.6,8,1
1974/5/3,16.0,8,1,20.9,8,1
1974/5/4,18.9,8,1,22.2,8,1
1974/5/5,18.0,8,1,23.9,8,1
1974/5/6,14.2,8,1,18.9,8,1
1974/5/7,14.9,8,1,19.5,8,1
1974/5/8,17.8,8,1,21.2,8,1
1974/5/9,18.2,8,1,20.1,8,1
1974/5/10,17.3,8,1,20.0,8,1
1974/5/11,17.1,8,1,20.8,8,1
1974/5/12,17.4,8,1,21.3,8,1
1974/5/13,17.2,8,1,22.1,8,1
1974/5/14,17.8,8,1,22.2,8,1
1974/5/15,18.8,8,1,21.3,8,1
1974/5/16,20.1,8,1,25.2,8,1
1974/5/17,20.1,8,1,26.0,8,1
1974/5/18,21.1,8,1,28.3,8,1
1974/5/19,21.9,8,1,27.0,8,1
1974/5/20,21.2,8,1,24.4,8,1
1974/5/21,21.4,8,1,25.2,8,1
1974/5/22,18.1,8,1,21.0,8,1
1974/5/23,17.9,8,1,22.8,8,1
1974/5/24,20.1,8,1,24.2,8,1
1974/5/25,19.1,8,1,24.1,8,1
1974/5/26,20.1,8,1,25.3,8,1
1974/5/27,19.6,8,1,24.6,8,1
1974/5/28,19.7,8,1,24.7,8,1
1974/5/29,21.6,8,1,25.9,8,1
1974/5/30,22.0,8,1,26.0,8,1
1974/5/31,21.0,8,1,24.4,8,1
1974/6/1,23.9,8,1,27.5,8,1
1974/6/2,22.2,8,1,26.9,8,1
1974/6/3,21.8,8,1,25.9,8,1
1974/6/4,17.2,8,1,18.7,8,1
1974/6/5,19.4,8,1,21.3,8,1
1974/6/6,20.7,8,1,24.8,8,1
1974/6/7,20.8,8,1,25.0,8,1
1974/6/8,20.9,8,1,24.8,8,1
1974/6/9,21.3,8,1,26.6,8,1
1974/6/10,20.5,8,1,23.2,8,1
1974/6/11,19.9,8,1,21.0,8,1
1974/6/12,21.3,8,1,25.6,8,1
1974/6/13,23.1,8,1,27.3,8,1
1974/6/14,19.7,8,1,21.7,8,1
1974/6/15,22.1,8,1,27.6,8,1
1974/6/16,23.5,8,1,28.1,8,1
1974/6/17,22.8,8,1,26.4,8,1
1974/6/18,24.3,8,1,27.0,8,1
1974/6/19,24.0,8,1,26.1,8,1
1974/6/20,21.8,8,1,25.8,8,1
1974/6/21,20.9,8,1,22.8,8,1
1974/6/22,23.6,8,1,27.4,8,1
1974/6/23,21.9,8,1,25.0,8,1
1974/6/24,19.6,8,1,22.0,8,1
1974/6/25,21.3,8,1,25.7,8,1
1974/6/26,22.8,8,1,27.3,8,1
1974/6/27,19.8,8,1,23.0,8,1
1974/6/28,19.0,8,1,19.8,8,1
1974/6/29,22.8,8,1,27.2,8,1
1974/6/30,22.7,8,1,24.9,8,1
1974/7/1,19.9,8,1,20.9,8,1
1974/7/2,20.2,8,1,20.9,8,1
1974/7/3,23.5,8,1,28.4,8,1
1974/7/4,21.9,8,1,24.1,8,1
1974/7/5,17.7,8,1,19.5,8,1
1974/7/6,18.2,8,1,19.3,8,1
1974/7/7,20.3,8,1,22.2,8,1
1974/7/8,24.1,8,1,28.3,8,1
1974/7/9,26.0,8,1,30.0,8,1
1974/7/10,26.5,8,1,30.1,8,1
1974/7/11,20.9,8,1,24.8,8,1
